003  00119 |Loss: 1.938 | Acc: 25.000% 
003  00120 |Loss: 1.936 | Acc: 26.042% 
003  00121 |Loss: 1.929 | Acc: 29.464% 
003  00122 |Loss: 1.926 | Acc: 29.688% 
003  00123 |Loss: 1.924 | Acc: 29.861% 
003  00124 |Loss: 1.921 | Acc: 29.375% 
003  00125 |Loss: 1.917 | Acc: 29.545% 
003  00126 |Loss: 1.917 | Acc: 27.604% 
003  00127 |Loss: 1.915 | Acc: 27.404% 
003  00128 |Loss: 1.912 | Acc: 27.232% 
003  00129 |Loss: 1.907 | Acc: 28.750% 
003  00130 |Loss: 1.901 | Acc: 30.859% 
003  00131 |Loss: 1.898 | Acc: 30.147% 
003  00132 |Loss: 1.895 | Acc: 30.208% 
003  00133 |Loss: 1.891 | Acc: 30.263% 
003  00134 |Loss: 1.886 | Acc: 31.250% 
003  00135 |Loss: 1.881 | Acc: 31.250% 
003  00136 |Loss: 1.876 | Acc: 31.818% 
003  00137 |Loss: 1.873 | Acc: 31.522% 
003  00138 |Loss: 1.868 | Acc: 31.771% 
003  00139 |Loss: 1.865 | Acc: 31.250% 
003  00140 |Loss: 1.859 | Acc: 31.971% 
003  00141 |Loss: 1.854 | Acc: 32.176% 
003  00142 |Loss: 1.848 | Acc: 32.589% 
003  00143 |Loss: 1.842 | Acc: 32.759% 
003  00144 |Loss: 1.837 | Acc: 32.708% 
003  00145 |Loss: 1.829 | Acc: 33.669% 
003  00146 |Loss: 1.822 | Acc: 33.984% 
003  00147 |Loss: 1.818 | Acc: 33.523% 
003  00148 |Loss: 1.811 | Acc: 33.824% 
003  00149 |Loss: 1.805 | Acc: 33.750% 
003  00150 |Loss: 1.798 | Acc: 33.681% 
003  00151 |Loss: 1.790 | Acc: 34.122% 
003  00152 |Loss: 1.785 | Acc: 33.717% 
003  00153 |Loss: 1.776 | Acc: 34.135% 
003  00154 |Loss: 1.768 | Acc: 33.906% 
003  00155 |Loss: 1.761 | Acc: 33.689% 
003  00156 |Loss: 1.754 | Acc: 33.631% 
003  00157 |Loss: 1.747 | Acc: 33.430% 
003  00158 |Loss: 1.737 | Acc: 33.807% 
003  00159 |Loss: 1.728 | Acc: 34.028% 
003  00160 |Loss: 1.721 | Acc: 33.696% 
003  00161 |Loss: 1.713 | Acc: 33.378% 
003  00162 |Loss: 1.706 | Acc: 33.203% 
003  00163 |Loss: 1.695 | Acc: 33.673% 
003  00164 |Loss: 1.687 | Acc: 33.750% 
003  00165 |Loss: 1.678 | Acc: 33.701% 
003  00166 |Loss: 1.668 | Acc: 33.774% 
003  00167 |Loss: 1.662 | Acc: 33.255% 
003  00168 |Loss: 1.654 | Acc: 33.102% 
003  00169 |Loss: 1.645 | Acc: 33.295% 
003  00170 |Loss: 1.636 | Acc: 33.259% 
003  00171 |Loss: 1.629 | Acc: 33.111% 
004  00172 |Loss: 1.162 | Acc: 18.750% 
004  00173 |Loss: 1.148 | Acc: 37.500% 
004  00174 |Loss: 1.137 | Acc: 41.667% 
004  00175 |Loss: 1.138 | Acc: 39.062% 
004  00176 |Loss: 1.134 | Acc: 38.750% 
004  00177 |Loss: 1.131 | Acc: 38.542% 
004  00178 |Loss: 1.124 | Acc: 39.286% 
004  00179 |Loss: 1.134 | Acc: 36.719% 
004  00180 |Loss: 1.139 | Acc: 35.417% 
004  00181 |Loss: 1.132 | Acc: 36.250% 
004  00182 |Loss: 1.122 | Acc: 37.500% 
004  00183 |Loss: 1.119 | Acc: 38.021% 
004  00184 |Loss: 1.119 | Acc: 38.462% 
004  00185 |Loss: 1.122 | Acc: 37.946% 
004  00186 |Loss: 1.124 | Acc: 37.083% 
004  00187 |Loss: 1.127 | Acc: 36.719% 
004  00188 |Loss: 1.129 | Acc: 35.662% 
004  00189 |Loss: 1.128 | Acc: 36.458% 
004  00190 |Loss: 1.126 | Acc: 35.855% 
004  00191 |Loss: 1.127 | Acc: 35.000% 
004  00192 |Loss: 1.124 | Acc: 34.821% 
004  00193 |Loss: 1.122 | Acc: 35.511% 
